"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2","2","CP1","Capacitor_THT:CP_Radial_D7.5mm_P2.50mm",""
"2","J1","1","To/From Processor","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"3","J2","1","Q5","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical",""
"4","J3","1","Q6","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical",""
"5","J4","1","Q7","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical",""
"6","J5","1","Q8","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical",""
"7","J6","1","12V input","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"8","J7","1","170V In","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"9","N1, N2, N4, N5, N7, N8","6","R|Z568M","MedidoFootprints:RZ568M",""
"10","N3, N6","2","Separator","MedidoFootprints:Separator",""
"11","Q1, Q2, Q3, Q4","4","MPSA42","Package_TO_SOT_THT:TO-92_Inline",""
"12","R1, R3, R5, R10, R12, R14, R19, R21","8","3K3","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"13","R2, R4, R11, R13, R20, R22","6","8K2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"14","R6, R7, R15, R16","4","6K8","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"15","R8, R9, R17, R18","4","68K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"16","U1, U4, U6, U7, U11, U13, U14, U18","8","FOD832","Package_DIP:DIP-4_W7.62mm",""
"17","U2, U5, U8, U12, U15, U19","6","74141","Package_DIP:DIP-16_W7.62mm_Socket",""
"18","U3, U9, U10","3","74HC4094","Package_DIP:DIP-16_W7.62mm",""
"19","U16","1","74HC4094","Package_DIP:DIP-16_W7.62mm_Socket",""
"20","U17","1","7805","Package_TO_SOT_THT:TO-220-3_Vertical",""
