Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Radial_D7.5mm_P2.50mm,2,CP1,
J1,PinHeader_1x06_P2.54mm_Vertical,1,To/From Processor,
J2,PinHeader_1x01_P2.54mm_Vertical,1,Q5,
J3,PinHeader_1x01_P2.54mm_Vertical,1,Q6,
J4,PinHeader_1x01_P2.54mm_Vertical,1,Q7,
J5,PinHeader_1x01_P2.54mm_Vertical,1,Q8,
J6,PinHeader_1x02_P2.54mm_Vertical,1,12V input,
J7,PinHeader_1x02_P2.54mm_Vertical,1,170V In,
"N1, N2, N4, N5, N7, N8",RZ568M,6,R|Z568M,
"N3, N6",Separator,2,Separator,
"Q1, Q2, Q3, Q4",TO-92L_Inline_Wide,4,MPSA42,
"R1, R10, R12, R14, R19, R21, R3, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,8,3K3,
"R11, R13, R2, R20, R22, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,6,8K2,
"R15, R16, R6, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,6K8,
"R17, R18, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,68K,
R23,1210,1,1,
"R24, R25, R26, R27, R28, R29, R30, R31, R32",1210,9,R_Small_US,
"U1, U11, U13, U14, U18, U4, U6, U7",DIP-4_W7.62mm,8,FOD832,
"U10, U20, U3, U9",DIP-16_W7.62mm,4,74HC4094,
"U12, U15, U19, U2, U5, U8",DIP-16_W7.62mm_Socket,6,74141,
U16,DIP-16_W7.62mm_Socket,1,74HC4094,
U17,TO-220-3_Vertical,1,7805,
