Designator,Mid X,Mid Y,Rotation,Layer
C1,443.23,-553.72,0.0,top
C2,477.52,-553.72,0.0,top
J1,137.8,-548.6,270.0,top
J2,310.515,-556.26,180.0,top
J3,315.595,-556.26,180.0,top
J4,320.675,-556.26,180.0,top
J5,325.755,-556.26,180.0,top
J6,498.475,-552.45,0.0,top
J7,500.38,-476.25,180.0,top
N1,100.0,-500.0,180.0,bottom
N2,165.0,-500.0,180.0,bottom
N3,212.0,-500.0,180.0,bottom
N4,259.0,-500.0,180.0,bottom
N5,324.0,-500.0,180.0,bottom
N6,371.0,-500.0,180.0,bottom
N7,418.0,-500.0,180.0,bottom
N8,483.0,-500.0,180.0,bottom
Q1,205.74,-532.13,0.0,top
Q2,214.63,-532.13,0.0,top
Q3,365.76,-532.13,0.0,top
Q4,374.65,-532.13,0.0,top
R1,71.12,-482.6,270.0,top
R10,227.33,-482.6,90.0,top
R11,262.89,-485.14,270.0,top
R12,292.1,-490.22,90.0,top
R13,327.66,-485.14,270.0,top
R14,360.68,-480.06,270.0,top
R15,367.03,-538.48,270.0,top
R16,375.92,-538.48,270.0,top
R17,375.92,-514.35,270.0,top
R18,367.03,-524.51,90.0,top
R19,388.62,-490.22,90.0,top
R2,104.14,-485.14,270.0,top
R20,421.64,-485.14,270.0,top
R21,452.12,-490.22,90.0,top
R22,487.68,-485.14,270.0,top
R23,82.0,-530.76,270.0,top
R24,86.0,-530.76,270.0,top
R25,90.0,-530.75,90.0,top
R26,94.0,-530.76,270.0,top
R27,98.0,-530.76,270.0,top
R28,102.0,-530.76,270.0,top
R29,106.0,-530.76,270.0,top
R3,134.62,-482.6,270.0,top
R30,110.0,-530.76,270.0,top
R31,114.0,-530.84,270.0,top
R32,118.0,-530.84,270.0,top
R4,168.91,-485.14,270.0,top
R5,200.66,-490.22,90.0,top
R6,207.01,-537.21,270.0,top
R7,215.9,-537.21,270.0,top
R8,215.9,-514.35,270.0,top
R9,207.01,-514.35,270.0,top
U1,73.66,-474.98,0.0,top
U10,286.0,-520.0,0.0,top
U11,297.18,-474.98,0.0,top
U12,332.1,-534.6,270.0,top
U13,367.03,-473.71,0.0,top
U14,393.7,-473.71,0.0,top
U15,426.1612,-534.7208,270.0,top
U16,447.38,-519.92,0.0,top
U17,458.47,-553.72,0.0,top
U18,457.2,-473.71,0.0,top
U19,490.9,-534.7,270.0,top
U2,107.95,-550.0,270.0,top
U20,230.38,-529.22,0.0,top
U3,128.38,-519.0,0.0,top
U4,138.43,-474.98,0.0,top
U5,176.0,-549.38,270.0,top
U6,207.01,-474.98,0.0,top
U7,232.41,-474.98,0.0,top
U8,266.7,-534.67,270.0,top
U9,297.18,-551.18,270.0,top
